epoch,accuracy,loss,val_accuracy,val_loss
0,0.3916412889957428,1.3115506172180176,0.46685880422592163,1.2418180704116821
1,0.6789371967315674,0.9256870746612549,0.6743515729904175,0.8771255016326904
2,0.7996125221252441,0.5551723837852478,0.7118155360221863,0.7554255127906799
3,0.8552449345588684,0.40320146083831787,0.6916426420211792,0.7585697174072266
4,0.8862441182136536,0.3186303675174713,0.6858789920806885,0.8222365975379944
5,0.9067257046699524,0.26734063029289246,0.6772334575653076,0.8245879411697388
6,0.9255466461181641,0.22161971032619476,0.7118155360221863,0.8781837821006775
7,0.9404926896095276,0.18717007339000702,0.6945244669914246,0.9123912453651428
8,0.9510102272033691,0.15567652881145477,0.6916426420211792,1.000565528869629
9,0.9609742760658264,0.14159785211086273,0.680115282535553,1.0778183937072754
10,0.9645723700523376,0.12065081298351288,0.6714697480201721,1.092813491821289
11,0.9676169157028198,0.1084052175283432,0.6945244669914246,1.174302101135254
12,0.972045361995697,0.10055713355541229,0.6772334575653076,1.2066619396209717
13,0.972875714302063,0.0903511643409729,0.6916426420211792,1.230163812637329
14,0.9709382653236389,0.09051739424467087,0.6858789920806885,1.2709834575653076
15,0.9725989699363708,0.08458597958087921,0.6685879230499268,1.3210338354110718
16,0.9753667116165161,0.08369093388319016,0.6772334575653076,1.3861171007156372
17,0.975643515586853,0.07854247838258743,0.6829971075057983,1.3357763290405273
18,0.9773041605949402,0.07528761029243469,0.6685879230499268,1.447038173675537
19,0.9767506122589111,0.07168722152709961,0.6772334575653076,1.4456325769424438
20,0.9745364189147949,0.0721273124217987,0.6743515729904175,1.4470205307006836
21,0.9786880612373352,0.06775623559951782,0.6685879230499268,1.4912327527999878
22,0.9778577089309692,0.0652167871594429,0.680115282535553,1.526068925857544
23,0.9773041605949402,0.0628322884440422,0.680115282535553,1.5117650032043457
24,0.9761970639228821,0.06661161035299301,0.6657060384750366,1.530137062072754
